video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_trailer,TTitle_ft,TTitle_2018,TTitle_music,TTitle_new,TTitle_war,TTitle_live,TTitle_2017,TDesc_video,TDesc_show,TDesc_thi,TDesc_music,TDesc_live,TDesc_new,TDesc_jimmi,TDesc_hi,TDesc_twitter,TDesc_late,TTags_funny,TTags_comedy,TTags_music,TTags_[none],TTags_interview,TTags_humor,TTags_trailer,TTags_video,TTags_late night,TTags_comedian
-3VBPAZPTQI,404690,16002,306,858,False,False,False,48,0.8125,False,False,2,4233,0.12993149066855658,True,True,False,584,13,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-43MBOJnVks,1758599,16188,832,2182,False,False,False,33,0.7272727272727273,False,False,3,2952,0.07892953929539293,False,False,False,273,29,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
-5WBCrazSfg,345486,6810,121,688,False,False,False,70,0.11428571428571432,False,False,6,609,0.12315270935960587,True,True,False,69,30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-5aaJJQFvOg,1770509,163869,2704,7269,False,False,False,44,0.2272727272727273,False,False,4,751,0.1131824234354194,True,True,True,96,8,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
-7tSTUR7FG0,4651793,251125,1013,12150,False,False,False,33,0.303030303030303,False,False,2,331,0.10271903323262843,True,True,False,48,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-8X32zNup1o,704552,7920,2680,4386,False,False,False,41,0.12195121951219512,False,True,1,353,0.07932011331444755,True,True,False,51,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
0-VAnh7r-_8,1392609,38471,2932,21316,False,False,False,45,0.1333333333333333,False,False,4,1497,0.072812291249165,True,True,False,149,23,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
03RQLmDNIEw,330158,12536,388,292,False,False,False,46,0.13043478260869568,False,False,6,923,0.0877573131094258,True,True,False,99,31,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
07w3u8iLa-s,344639,12811,816,2467,False,False,False,40,0.125,False,False,3,857,0.03967327887981331,True,True,False,99,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
08qd-vsHbaY,812144,12959,351,932,False,False,False,25,0.76,False,False,2,137,0.14598540145985406,True,True,False,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
