video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_offici,TTitle_video,TTitle_2018,TTitle_trailer,TTitle_vs,TTitle_2017,TTitle_new,TTitle_live,TTitle_make,TTitle_ft,TDesc_video,TDesc_follow,TDesc_thi,TDesc_subscrib,TDesc_twitter,TDesc_facebook,TDesc_instagram,TDesc_watch,TDesc_get,TDesc_like,TTags_funny,TTags_comedy,TTags_humor,TTags_music,TTags_[none],TTags_interview,TTags_comedian,TTags_celebrity,TTags_television,TTags_news
-0CMnp02rNY,800359,9773,332,423,False,False,False,74,0.1216216216216216,False,False,5,101,0.03960396039603964,False,False,False,9,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
-0NYY8cqdiQ,563746,4429,54,94,False,False,False,75,0.10666666666666669,False,False,5,244,0.04508196721311475,False,False,False,17,33,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
-1Hm41N0dUs,2058516,41248,580,1484,False,False,False,53,0.13207547169811318,False,False,5,2044,0.1355185909980431,True,True,False,201,23,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False
-1yT-K3c6YI,231341,7734,212,846,False,False,False,51,0.7647058823529411,False,False,3,307,0.09446254071661242,True,True,True,29,8,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-2RVw2_QyxQ,71089,460,27,20,False,False,False,30,0.09999999999999998,False,False,2,379,0.08443271767810023,False,False,False,43,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-2aVkGcI7ZA,2390558,41016,1642,977,False,False,False,57,0.19298245614035092,False,False,6,328,0.057926829268292734,False,False,False,32,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-2b4qSoMnKE,291653,3788,603,3093,False,False,False,41,0.12195121951219512,False,False,2,182,0.03296703296703296,False,False,False,15,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-2wRFv-mScQ,1036300,12984,383,714,False,False,False,49,0.18367346938775508,False,False,2,270,0.1074074074074074,True,True,False,34,21,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
-35jibKqbEo,2425578,129381,1522,8757,False,False,False,58,0.13793103448275867,False,False,5,245,0.061224489795918324,False,False,False,21,23,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-37nIo_tLnk,3170,4,0,1,False,False,False,18,0.11111111111111116,False,False,2,89,0.0561797752808989,False,False,False,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-39ysKKpE7I,385104,4028,343,1507,False,False,False,94,0.13829787234042556,False,False,10,886,0.1489841986455982,True,True,False,128,37,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
-3h4Xt9No9o,373184,8670,334,880,False,False,False,41,0.07317073170731703,False,False,1,1154,0.045060658578856105,True,True,False,127,28,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-3nEHRN6IPg,266142,10697,389,1035,False,False,False,57,0.08771929824561409,False,False,5,2387,0.052366987850858804,True,True,False,231,18,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
-4s2MeUgduo,437732,49907,626,1455,False,False,False,32,0.15625,False,False,5,596,0.03691275167785235,True,True,False,84,17,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-5aaJJQFvOg,1168351,135280,1917,6282,False,False,False,44,0.2272727272727273,False,False,4,728,0.11675824175824179,True,True,True,96,8,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-66xHRJSPxs,1431462,29689,943,2937,False,False,False,63,0.6825396825396826,False,False,2,2148,0.19413407821229045,True,True,True,249,27,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
-7AZX5Xtiks,593557,25292,630,1881,False,False,False,28,0.1428571428571429,False,False,1,426,0.06338028169014087,True,True,False,51,16,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
-7UzyXO-mzk,2620061,59416,1201,8529,False,False,False,23,0.6086956521739131,False,False,3,2930,0.08498293515358357,True,True,False,305,39,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
-7_ATlZ-zMc,3510260,28252,1695,2379,False,False,False,13,0.15384615384615385,False,False,3,129,0.015503875968992276,False,False,True,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
-8ZHXaGILlc,252542,760,100,111,False,False,False,55,0.19999999999999996,False,False,2,406,0.036945812807881784,False,False,False,35,14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-9OfAHgdV8Y,1371506,18997,1185,2861,False,False,False,72,0.1527777777777778,False,False,6,1280,0.11640625000000004,True,True,False,163,34,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,False
