video_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed,title_length,title_uppercase,title_emoticons,title_hashtag,title_interpunction,description_length,description_uppercase,description_link,description_emoticons,description_hashtag,description_interpunction,tag_number,TTitle_video,TTitle_thi,TTitle_music,TTitle_show,TTitle_channel,TTitle_wa,TTitle_new,TTitle_can,TTitle_us,TTitle_live,TDesc_offici,TDesc_2018,TDesc_video,TDesc_trailer,TDesc_live,TDesc_london,TDesc_new,TDesc_music,TDesc_ft,TDesc_2,TTags_none,TTags_music,TTags_funny,TTags_comedy,TTags_london,TTags_2018,TTags_video,TTags_interview,TTags_uk,TTags_vlog,lightRed,lightGreen,lightBlue,sobelFilter,TThumbText_offici,TThumbText_trailer,TThumbText_live,TThumbText_vevo,TThumbText_news,TThumbText_mum,TThumbText_jimmi,TThumbText_vocal,TThumbText_coach,TThumbText_beatdown,numOfFaces
-3VBPAZPTQI,404690,16002,306,858,False,False,False,48,0.8125,False,False,2,4233,0.12993149066855658,True,True,False,584,13,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,156.5586111111111,123.34988425925926,109.11375771604938,0.084025478801678,False,False,False,False,False,False,False,False,False,False,2
-43MBOJnVks,1758599,16188,832,2182,False,False,False,33,0.7272727272727273,False,False,3,2952,0.07892953929539293,False,False,False,273,29,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,124.82408179012346,123.23372685185186,118.12427469135802,0.03575361113498623,False,False,False,False,False,False,False,False,False,False,1
-5WBCrazSfg,345486,6810,121,688,False,False,False,70,0.11428571428571432,False,False,6,609,0.12315270935960587,True,True,False,69,30,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,111.61815586419753,107.66148148148149,95.61256944444445,0.07887768148052657,False,False,False,False,False,False,False,False,False,False,1
-5aaJJQFvOg,1770509,163869,2704,7269,False,False,False,44,0.2272727272727273,False,False,4,751,0.1131824234354194,True,True,True,96,8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,138.03421296296295,103.15199074074074,116.71493827160494,0.08809884132368805,False,False,False,False,False,False,False,False,False,False,7
-7tSTUR7FG0,4651793,251125,1013,12150,False,False,False,33,0.303030303030303,False,False,2,331,0.10271903323262843,True,True,False,48,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,152.2753086419753,152.12510030864198,153.67851080246913,0.03428746682630594,False,False,False,False,False,False,False,False,False,False,0
-8X32zNup1o,704552,7920,2680,4386,False,False,False,41,0.12195121951219512,False,True,1,353,0.07932011331444755,True,True,False,51,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,0
0-VAnh7r-_8,1392609,38471,2932,21316,False,False,False,45,0.1333333333333333,False,False,4,1497,0.072812291249165,True,True,False,149,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,45.30133487654321,37.10112654320988,36.73108796296296,0.046162586756840124,False,False,False,False,False,False,False,False,False,False,0
03RQLmDNIEw,330158,12536,388,292,False,False,False,46,0.13043478260869568,False,False,6,923,0.0877573131094258,True,True,False,99,31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,0
07w3u8iLa-s,344639,12811,816,2467,False,False,False,40,0.125,False,False,3,857,0.03967327887981331,True,True,False,99,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,129.41283179012345,116.82452932098765,101.30263117283951,0.07185665394052679,False,False,False,False,False,False,False,False,False,False,1
08qd-vsHbaY,812144,12959,351,932,False,False,False,25,0.76,False,False,2,137,0.14598540145985406,True,True,False,11,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,126.6842361111111,126.6842361111111,126.6842361111111,0.1343105063997339,False,False,False,False,False,False,False,False,False,False,0
09lz1fRBBsY,530206,23147,267,2401,False,False,False,34,0.5588235294117647,False,False,0,1409,0.08090844570617461,True,True,False,176,23,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,102.37050925925926,102.37050925925926,102.37050925925926,0.057494722948341036,False,False,False,False,False,False,False,False,False,False,1
0ANDjPQPS_Q,28869,3110,90,454,False,False,False,51,0.47058823529411764,False,False,2,447,0.08724832214765099,True,True,True,57,8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,190.48092592592593,163.85314043209877,185.77469907407408,0.06407509482406216,False,False,False,False,False,False,False,False,False,False,0
0AUFyFEt35g,4645909,520454,4456,76042,False,False,False,21,0.47619047619047616,False,False,2,252,0.13095238095238093,True,True,False,42,51,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,63.596682098765434,48.72118827160494,36.50183641975308,0.06777163075016,False,False,False,False,False,False,False,False,False,False,3
0DpCDxoj_Xg,690533,43218,304,1617,False,False,False,47,0.17021276595744683,False,False,5,1427,0.08899789768745625,True,True,False,146,26,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,121.623125,115.7939737654321,97.32287037037037,0.11655102317907325,False,False,False,False,False,False,False,False,False,False,4
0EQuVfP-vXs,202376,525,340,366,False,False,False,66,0.16666666666666663,False,False,2,214,0.07476635514018692,False,False,False,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,0
0GGbHtKmobQ,219083,2095,27,289,False,False,False,41,0.09756097560975607,True,False,5,329,0.033434650455927084,False,False,False,29,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,17.701689814814817,14.077191358024692,13.085887345679012,0.020768472423382735,False,False,False,False,False,False,False,False,False,False,1
0GQmGOju6CE,1540207,90236,1012,15397,False,False,False,36,0.5277777777777778,False,False,2,551,0.08711433756805809,True,True,False,57,17,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,141.17234567901235,119.79506172839505,110.8598225308642,0.08808126414061206,False,False,False,False,False,False,False,False,False,False,1
0JcNT6jYGwI,559159,15688,192,2446,False,False,False,31,0.09677419354838712,False,True,3,119,0.03361344537815125,False,False,False,21,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,121.35300154320987,128.29090277777777,122.22316358024692,0.0948454579437781,False,False,False,False,False,False,False,False,False,False,0
0NS51Iph2Ms,91790,1552,644,1155,False,False,False,54,0.09259259259259256,False,False,6,2535,0.054832347140039484,True,True,False,388,22,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,106.01530092592593,112.30051697530864,111.51773148148148,0.0899925803172799,False,False,False,False,True,False,False,False,False,False,2
0NWKUHl6JLY,526710,13379,1668,3718,False,False,False,44,0.11363636363636365,False,False,2,1289,0.10628394103956551,True,True,False,133,40,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,246.84706018518517,198.06162808641974,194.66671296296298,0.09582038297857766,False,False,False,False,False,False,False,False,False,False,0
0Np4K_PAfnI,936825,16197,339,1896,False,False,False,58,0.1724137931034483,False,False,6,2036,0.1385068762278978,True,True,True,202,30,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,1.0,1.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,0
0O2IAz1E9Ts,806361,21343,1600,1166,False,False,False,55,0.12727272727272732,False,False,5,534,0.08239700374531833,True,True,False,55,22,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,183.8441049382716,171.17255401234567,176.63505401234568,0.05777981975654097,False,False,False,False,False,False,False,False,False,False,3
